WD,Av_WS,Mx_WS,1h_RF,24h_RF,Tem,Hum,b_PR
0,0,0,0,0,21.67,57,1006
225,0,0,0,0,21.67,57,1006
0,0,0,0,0,21.67,56,1006
0,0,0,0,0,21.67,57,1006
45,0,0.45,0,0,21.67,57,1006
0,0,0.45,0,0,21.67,58,1006
45,0,0.45,0,0,21.67,58,1006
270,0,0.45,0,0,21.67,57,1006
0,0,0,0,0,21.67,57,1006
0,0,0.45,0,0,21.67,57,1006
315,0,0,0,0,21.67,56,1006
45,0,0,0,0,22.22,56,1006
315,0,0.45,0,0,21.67,57,1006.1
45,0,0.45,0,0,22.22,56,1006
45,0,0.45,0,0,22.22,55,1006
45,0,0.45,0,0,22.22,55,1006
0,0,0.45,0,0,22.22,54,1006.1
315,0,0.45,0,0,22.22,55,1006.1
315,0,0.45,0,0,22.22,54,1006
45,0,0,0,0,21.67,56,1006.1
270,0,0,0,0,21.67,57,1005.9
315,0,0,0,0,21.67,56,1006
45,0,0,0,0,21.67,56,1006
315,0,0.45,0,0,21.11,57,1006
0,0,0.45,0,0,21.67,57,1006
225,0,0.45,0,0,21.67,58,1006
180,0,0.45,0,0,21.67,58,1006
90,0,0,0,0,21.67,58,1006.1
90,0,0,0,0,21.67,58,1006.1
90,0,0,0,0,21.67,58,1006
90,0,0,0,0,21.67,56,1006.1
45,0,0,0,0,21.67,57,1006.1
45,0,0,0,0,21.67,56,1006.1
45,0,0,0,0,21.67,56,1006.1
45,0,0,0,0,21.67,56,1006
45,0,0,0,0,21.67,56,1006
0,0,0.45,0,0,21.67,54,1006
45,0,0.45,0,0,21.11,56,1006
0,0,0.45,0,0,20.56,57,1006
45,0,0.45,0,0,20,58,1006
0,0,0.89,0,0,20,58,1005.9
45,0,0.45,0,0,20,57,1006
45,0,0,0,0,20.56,57,1006
45,0,0.45,0,0,20,58,1006
45,0,0.45,0,0,20,58,1005.9
45,0,0.45,0,0,20,58,1006
0,0,0.45,0,0,20,59,1006
315,0,0.45,0,0,19.44,59,1006
